adresse;code postal;nom;longitude;latitude
234 Boulevard du Mont d'Est;93160 NOISY-LE-GRAND;DARTY MARNE-LA-VALLEE;2.5481839;48.8398809
25 Rue de Guyenne ZAC Les Provinces;45160 OLIVET;DARTY OLIVET;1.9159837;47.8400569
Quartier Quiez;83190 OLLIOULES;DARTY OLLIOULES;5.8767576;43.127637
15 Rue du Compagnonnage;85340 Olonne sur Mer;DARTY LES SABLES D'OLONNE;-1.7805925;46.5129148
Lot C La Gravette, 6 rue Frederic Aries;64400 OLORON SAINTE MARIE;DARTY OLORON SAINTE MARIE;-0.61709;43.1809966
Pole Commercial Le Comtal Sud;12850 ONET LE CHATEAU;DARTY RODEZ;2.6041436;44.3940263
Zone Commerciale des Soarns;64300 ORTHEZ;DARTY ORTHEZ;-0.7425136;43.4753384
242 route de Vannes;44700 ORVAULT;DARTY NANTES;-1.5998187;47.2449899
ZA Le Village - RN 4;67700 Otterswiller;DARTY SAVERNE;7.3747865;48.7287303
ZAC du Chandelet - Avenue de la Bouriette;09100 PAMIERS;DARTY PAMIERS;1.6304774;43.1113842
12 rue Linois;75015 PARIS;DARTY BEAUGRENELLE;2.2822428;48.8485543
25 boulevard de Belleville;75011 PARIS;DARTY BELLEVILLE;2.3805366;48.8685527
29 Rue Neuve Tolbiac;75013 PARIS;DARTY BIBLIOTHEQUE NATIONALE DE FRANCE;2.3776461;48.8304509
Place de la Madeleine parking tronchet;75008 PARIS;DARTY LA MADELEINE;2.32472;48.8711459
2 porte Pont-Neuf;75001 PARIS;DARTY LES HALLES;2.3451289;48.861933
56 boulevard de Rochechouart;75018 PARIS;DARTY MONTMARTRE;2.3454567;48.8834495
68 avenue du Maine;75014 PARIS;DARTY MONTPARNASSE;2.3215945;48.8387031
21 cours de Vincennes;75020 PARIS;DARTY NATION;2.4012633;48.8484002
92 Avenue Paul Doumer;75016 PARIS;DARTY PASSY;2.2758245;48.8588171
1 avenue de la Republique;75011 PARIS;DARTY REPUBLIQUE;2.3660679;48.8671134
125 Avenue de Saint Ouen;75017 PARIS;DARTY SAINT OUEN;2.3281801;48.8959398
8 avenue des Ternes;75017 PARIS;DARTY TERNES;2.2962671;48.8783972
Centre Commercial LECLERC - Boulevard de l'Europe;79200 PARTHENAY;DARTY PARTHENAY;-0.222227;46.6481313
Parc de Choisy, RN 85;04200 PEIPIN;DARTY SISTERON PEIPIN;5.9652717;44.1430163
avenue Georges Freche;34470 PEROLS;DARTY MONTPELLIER PEROLS;3.9462675;43.5725132
925 Avenue d'Espagne;66100 PERPIGNAN;DARTY PERPIGNAN;2.8942719;42.6804027
Centre Commercial Auchan;59494 PETITE-FORET;DARTY VALENCIENNES;3.4793401;50.3762947
Rue Flora Tristan,ZAC de Senives;45300 Pithiviers;DARTY PITHIVIERS;2.2499102;48.1882738
Zone Commerciale Grand Plaisir Rue Francis Carco;78370 PLAISIR;DARTY PLAISIR;1.9667513;48.8266997
